unit_id,time,status
1,5000,0
2,5000,0
3,5000,0
4,5000,0
5,5000,0
6,5000,0
7,5000,0
8,5000,0
9,5000,0
10,5000,0
11,5000,0
12,5000,0
13,5000,0
14,5000,0
15,5000,0
16,5000,0
17,5000,0
18,5000,0
19,5000,0
20,5000,0
21,5000,0
22,5000,0
23,5000,0
24,5000,0
25,5000,0
26,5000,0
27,5000,0
28,5000,0
29,5000,0
30,5000,0
31,5000,0
32,5000,0
33,5000,0
34,5000,0
35,5000,0
36,5000,0
37,5000,0
38,5000,0
39,5000,0
40,5000,0
41,5000,0
42,5000,0
43,5000,0
44,5000,0
45,5000,0
46,5000,0
47,5000,0
48,5000,0
49,5000,0
50,5000,0
